Time,FR007:1Y,FR007:2Y,FR007:3Y,FR007:5Y,FR007:7Y,FR007:10Y,国债:1Y,国债:2Y,国债:3Y,国债:5Y,国债:7Y,国债:10Y,国开:1Y,国开:2Y,国开:3Y,国开:5Y,国开:7Y,国开:10Y,口行:1Y,口行:2Y,口行:3Y,口行:5Y,口行:7Y,口行:10Y
2012-07-10,2.4289,2.4391,2.531,2.6673,2.7652,2.8187,2.2161,2.2518,2.451,2.8053,3.0239,3.2549,2.8202,3.1694,3.3514,3.7192,3.9317,4.0007,2.7604,3.1156,3.2721,3.5147,3.7804,3.9243
2012-07-11,2.4244,2.4261,2.5124,2.6459,2.7532,2.8034,2.2236,2.2458,2.4269,2.7841,3.0072,3.2398,2.8191,3.1755,3.3377,3.7192,3.9136,3.9807,2.756,3.1337,3.2525,3.4925,3.7804,3.8994
2012-07-12,2.3878,2.3818,2.4485,2.5843,2.681,2.7337,2.2287,2.235,2.4204,2.7656,3.0152,3.2502,2.8242,3.176,3.3185,3.7012,3.8851,3.9883,2.7474,3.1141,3.2344,3.4924,3.765,3.9136
2012-07-13,2.412,2.4064,2.4654,2.6003,2.6948,2.7467,2.2171,2.247,2.4397,2.7706,3.0312,3.2591,2.8294,3.1687,3.3305,3.6912,3.883,3.9869,2.7541,3.1062,3.2343,3.4907,3.781,3.9203
2012-07-16,2.4497,2.4495,2.5218,2.6467,2.7435,2.7997,2.2353,2.2461,2.4453,2.7881,3.0449,3.2752,2.8188,3.1684,3.336,3.6903,3.892,4.0169,2.7541,3.1168,3.2551,3.5152,3.7849,3.9205
2012-07-17,2.4911,2.4883,2.5664,2.6869,2.7729,2.8298,2.2453,2.2486,2.3949,2.809,3.061,3.285,2.8388,3.1692,3.336,3.6903,3.9225,4.0412,2.7646,3.1332,3.2657,3.5305,3.7999,3.9266
2012-07-18,2.5048,2.5003,2.5607,2.6878,2.7841,2.8383,2.2513,2.2666,2.3979,2.8167,3.0721,3.2858,2.8638,3.1892,3.3489,3.7022,3.9358,4.0607,2.7715,3.1502,3.2813,3.5483,3.8186,3.9424
2012-07-19,2.5144,2.5114,2.5739,2.6906,2.7858,2.8384,2.2591,2.2973,2.4137,2.8136,3.0658,3.286,2.8838,3.1892,3.3589,3.7023,3.9297,4.0489,2.7819,3.1477,3.2813,3.552,3.8186,3.9425
2012-07-20,2.5103,2.4975,2.5618,2.6914,2.7782,2.8381,2.2699,2.2934,2.3848,2.8045,3.0574,3.281,2.8838,3.1916,3.3517,3.7012,3.9347,4.0412,2.7706,3.1366,3.2745,3.5557,3.8304,3.9471
2012-07-23,2.5587,2.5198,2.578,2.6961,2.7792,2.845,2.2849,2.2998,2.4083,2.8123,3.0504,3.276,2.9037,3.1951,3.3695,3.705,3.9435,4.0463,2.7702,3.1364,3.2767,3.5609,3.8365,3.957
2012-07-24,2.5443,2.502,2.5631,2.6829,2.7697,2.8349,2.2891,2.2996,2.4009,2.8106,3.0647,3.2759,2.8979,3.1925,3.3669,3.7067,3.9415,4.0502,2.7709,3.1568,3.2865,3.5709,3.8445,3.9611
2012-07-25,2.5276,2.4926,2.5534,2.6781,2.7562,2.8192,2.2819,2.3445,2.4904,2.8137,3.0707,3.276,2.9023,3.2075,3.3737,3.7067,3.9416,4.0511,2.7715,3.175,3.313,3.5791,3.8466,3.9629
2012-07-26,2.5425,2.5064,2.565,2.6839,2.7648,2.8334,2.278,2.3476,2.578,2.8127,3.0715,3.2763,2.9316,3.2225,3.3765,3.7167,3.95,4.0495,2.7727,3.179,3.3124,3.579,3.8466,3.9575
2012-07-27,2.5657,2.5301,2.5881,2.7089,2.7812,2.8494,2.2977,2.3551,2.6046,2.8333,3.0757,3.2764,2.9157,3.2125,3.3844,3.7263,3.9414,4.0566,2.7863,3.1717,3.3197,3.5827,3.8467,3.9547
2012-07-30,2.5769,2.5506,2.5989,2.7178,2.794,2.8608,2.2952,2.354,2.6024,2.8429,3.0775,3.2755,2.9339,3.215,3.3901,3.728,3.9385,4.0577,2.7852,3.1807,3.3187,3.5953,3.8438,3.9511
2012-07-31,2.604,2.5783,2.6353,2.7397,2.8251,2.8779,2.3077,2.3709,2.6257,2.8614,3.0997,3.2915,2.9615,3.245,3.4203,3.7655,3.9731,4.0623,2.8101,3.1957,3.3288,3.6102,3.8564,3.9566
2012-08-01,2.594,2.5685,2.6242,2.7277,2.8192,2.8772,2.3277,2.3617,2.6158,2.8648,3.1065,3.2921,2.9815,3.2706,3.4205,3.7566,3.9882,4.0723,2.8107,3.2007,3.3375,3.6193,3.8708,3.9711
2012-08-02,2.6065,2.5796,2.6363,2.7271,2.8213,2.8779,2.3306,2.3588,2.6212,2.8548,3.1041,3.2861,2.9777,3.2953,3.4207,3.7646,3.9927,4.0673,2.8107,3.2044,3.3341,3.6279,3.8803,3.9812
2012-08-03,2.6029,2.5788,2.6329,2.7279,2.8208,2.8769,2.3553,2.3713,2.6321,2.8628,3.1102,3.2902,3.0304,3.2987,3.4263,3.7726,3.9976,4.0858,2.8607,3.209,3.3487,3.6122,3.8777,3.9812
2012-08-06,2.7088,2.6902,2.74,2.8199,2.9086,2.9431,2.3728,2.4145,2.6602,2.8921,3.1297,3.31,3.0233,3.295,3.4847,3.7938,4.0213,4.1311,2.8618,3.2321,3.4012,3.6376,3.9025,3.9961
